epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.92075,1.40478,4.27028,1.05832,0.00555,0.19908,0.0298,0.01411,1.34614,3.93882,0.94987,0.09703,3e-05,3e-05
2,9.20716,1.37762,3.91757,1.00391,0.00514,0.16882,0.00995,0.00624,1.61897,3.67965,1.01057,0.0930699,6.99316e-05,6.99316e-05
3,11.4611,1.37383,2.98099,0.96021,0.00533,0.11256,0.05443,0.02237,2,3.27639,1.11895,0.0891096,0.000109571,0.000109571
4,13.7441,1.40168,2.01624,0.95219,0.00469,0.09899,0.05213,0.02094,1.92302,3.27069,1.19517,0.0851487,0.000148685,0.000148685
5,15.9388,1.31701,1.92613,0.95817,0.0059,0.12462,0.06949,0.02826,1.83455,3.05817,1.14868,0.081187,0.000187045,0.000187045
6,18.1622,1.34192,1.74589,0.96346,0.00622,0.13116,0.07598,0.03241,1.71831,2.87668,1.10087,0.0772244,0.000224428,0.000224428
7,20.2758,1.37913,1.70519,0.94261,0.21935,0.20977,0.19092,0.1047,1.70908,3.04592,1.10432,0.0732606,0.000260615,0.000260615
8,22.3633,1.3296,1.60868,0.96826,0.02581,0.18791,0.07751,0.04454,1.70849,3.12466,1.12088,0.0692954,0.000295396,0.000295396
9,24.5769,1.31879,1.55195,0.95547,0.02977,0.1795,0.09028,0.05464,1.62486,3.09886,1.08635,0.0653286,0.00032857,0.00032857
10,26.5913,1.30957,1.50128,0.9641,0.04091,0.21302,0.1149,0.06105,1.62221,3.01971,1.06425,0.0613599,0.000359948,0.000359948
11,28.6426,1.30131,1.40419,0.9426,0.02358,0.24782,0.12927,0.06289,1.53525,2.83496,1.02666,0.0573893,0.000389349,0.000389349
12,30.6861,1.28231,1.26079,0.93808,0.02152,0.2434,0.11673,0.06134,1.61962,2.70306,1.10387,0.0534166,0.00041661,0.00041661
13,32.7037,1.21372,1.26754,0.94085,0.0242,0.32328,0.13247,0.07818,1.43319,2.79026,1.03512,0.0494416,0.000441578,0.000441578
